factor,frequency,window_days,date,ic,p_value,num_stocks,is_significant
Operating_Profit_Margin,Q,126,2021-06-30,-0.14826739774937042,0.14511468168739458,98,False
Operating_Profit_Margin,Q,126,2022-03-31,0.1893117391736804,0.05426470454213887,104,False
Operating_Profit_Margin,Q,126,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,Q,252,2022-03-31,0.1893117391736804,0.05426470454213887,104,False
Operating_Profit_Margin,Q,252,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,Q,378,2022-03-31,0.1893117391736804,0.05426470454213887,104,False
Operating_Profit_Margin,Q,378,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,Q,504,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
RSI_Momentum,Q,126,2021-06-30,-0.08133231225100959,0.40721017726200925,106,False
RSI_Momentum,Q,126,2022-03-31,-0.2340693600599207,0.014761117885628361,108,True
RSI_Momentum,Q,126,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,Q,252,2022-03-31,-0.2340693600599207,0.014761117885628361,108,True
RSI_Momentum,Q,252,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,Q,378,2022-03-31,-0.2340693600599207,0.014761117885628361,108,True
RSI_Momentum,Q,378,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,Q,504,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
ROE_Proxy,Q,126,2021-06-30,-0.1776759781435435,0.06843630608239118,106,False
ROE_Proxy,Q,126,2022-03-31,0.2953598399276915,0.0015691846675374994,112,True
ROE_Proxy,Q,126,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
ROE_Proxy,Q,252,2022-03-31,0.2953598399276915,0.0015691846675374994,112,True
ROE_Proxy,Q,252,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
ROE_Proxy,Q,378,2022-03-31,0.2953598399276915,0.0015691846675374994,112,True
ROE_Proxy,Q,378,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
ROE_Proxy,Q,504,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
