date,value,positions,cumulative_costs
2024-10-10,0.0,0,0.0
2024-10-11,0.0,0,0.0
2024-10-14,0.0,0,0.0
2024-10-15,0.0,0,0.0
2024-10-16,0.0,0,0.0
2024-10-17,0.0,0,0.0
2024-10-18,0.0,0,0.0
2024-10-21,0.0,0,0.0
2024-10-22,0.0,0,0.0
2024-10-23,0.0,0,0.0
2024-10-24,0.0,0,0.0
2024-10-25,0.0,0,0.0
2024-10-28,0.0,0,0.0
2024-10-29,0.0,0,0.0
2024-10-30,0.0,0,0.0
2024-10-31,99600610.0,11,164341.00650000002
2024-11-01,98303840.0,11,164341.00650000002
2024-11-04,100126730.0,11,164341.00650000002
2024-11-05,100154140.0,11,164341.00650000002
2024-11-06,99714450.0,11,164341.00650000002
2024-11-07,101081650.0,11,164341.00650000002
2024-11-08,102040600.0,11,164341.00650000002
2024-11-11,102174030.0,11,164341.00650000002
2024-11-12,102450680.0,11,164341.00650000002
2024-11-13,102059040.0,11,164341.00650000002
2024-11-14,103163980.0,11,164341.00650000002
2024-11-15,102891830.0,11,164341.00650000002
2024-11-18,104250680.0,11,164341.00650000002
2024-11-19,105756960.0,11,164341.00650000002
2024-11-20,107082780.0,11,164341.00650000002
2024-11-21,104819450.0,11,164341.00650000002
2024-11-22,106329020.0,11,164341.00650000002
2024-11-25,108337970.0,11,164341.00650000002
2024-11-26,107823050.0,11,164341.00650000002
2024-11-27,105965060.0,11,164341.00650000002
2024-11-28,105358930.0,11,164341.00650000002
2024-11-29,105046950.0,11,164341.00650000002
2024-12-02,103938030.0,11,164341.00650000002
2024-12-03,107425650.0,11,164341.00650000002
2024-12-04,104513840.0,11,164341.00650000002
2024-12-05,102816880.0,11,164341.00650000002
2024-12-06,103179880.0,11,164341.00650000002
2024-12-09,98851380.0,11,164341.00650000002
2024-12-10,104871430.0,11,164341.00650000002
2024-12-11,107459570.0,11,164341.00650000002
2024-12-12,108108650.0,11,164341.00650000002
2024-12-13,108526400.0,11,164341.00650000002
2024-12-16,108570560.0,11,164341.00650000002
2024-12-17,107295400.0,11,164341.00650000002
2024-12-18,109530900.0,11,164341.00650000002
2024-12-19,108905940.0,11,164341.00650000002
2024-12-20,108101500.0,11,164341.00650000002
2024-12-23,109241180.0,11,164341.00650000002
2024-12-24,108701000.0,11,164341.00650000002
2024-12-26,108733060.0,11,164341.00650000002
2024-12-27,106706690.0,11,164341.00650000002
2024-12-30,106335360.0,11,164341.00650000002
2025-01-02,110066760.0,11,164341.00650000002
2025-01-03,107859110.0,11,164341.00650000002
2025-01-06,109034510.0,11,164341.00650000002
2025-01-07,110186960.0,11,164341.00650000002
2025-01-08,112886460.0,11,164341.00650000002
2025-01-09,114116750.0,11,164341.00650000002
2025-01-10,115557450.0,11,164341.00650000002
2025-01-13,113677620.0,11,164341.00650000002
2025-01-14,115497330.0,11,164341.00650000002
2025-01-15,119732960.0,11,164341.00650000002
2025-01-16,119437640.0,11,164341.00650000002
2025-01-17,122548690.0,11,164341.00650000002
2025-01-20,119956310.0,11,164341.00650000002
2025-01-21,122892500.0,11,164341.00650000002
2025-01-22,129736790.0,11,164341.00650000002
2025-01-23,127406450.0,11,164341.00650000002
2025-01-24,130891880.0,11,164341.00650000002
2025-01-31,127159540.0,11,584991.594
2025-02-03,123387570.0,11,584991.594
2025-02-04,126541590.0,11,584991.594
2025-02-05,126053250.0,11,584991.594
2025-02-06,127876740.0,11,584991.594
2025-02-07,129735140.0,11,584991.594
2025-02-10,128749630.0,11,584991.594
2025-02-11,129961580.0,11,584991.594
2025-02-12,131575130.0,11,584991.594
2025-02-13,131735610.0,11,584991.594
2025-02-14,131903710.0,11,584991.594
2025-02-17,136769930.0,11,584991.594
2025-02-18,137712950.0,11,584991.594
2025-02-19,139543180.0,11,584991.594
2025-02-20,138110860.0,11,584991.594
2025-02-21,139634760.0,11,584991.594
2025-02-24,137993880.0,11,584991.594
2025-02-25,137946110.0,11,584991.594
2025-02-26,134923450.0,11,584991.594
2025-02-27,132925680.0,11,584991.594
2025-02-28,128037800.0,10,1008127.0650000001
2025-03-03,449178512.8029001,10,1008127.0650000001
2025-03-04,128663840.0,10,1008127.0650000001
2025-03-05,130126600.0,10,1008127.0650000001
2025-03-06,128348580.0,10,1008127.0650000001
2025-03-07,127889700.0,10,1008127.0650000001
2025-03-10,130709260.0,10,1008127.0650000001
2025-03-11,128372170.0,10,1008127.0650000001
2025-03-12,128984080.0,10,1008127.0650000001
2025-03-13,130679150.0,10,1008127.0650000001
2025-03-14,130083010.0,10,1008127.0650000001
2025-03-17,129781940.0,10,1008127.0650000001
2025-03-18,131755580.0,10,1008127.0650000001
2025-03-19,131537110.0,10,1008127.0650000001
2025-03-20,131768250.0,10,1008127.0650000001
2025-03-21,132190170.0,10,1008127.0650000001
2025-03-24,130782700.0,10,1008127.0650000001
2025-03-25,127303200.0,10,1008127.0650000001
2025-03-26,127248180.0,10,1008127.0650000001
2025-03-27,123706480.0,10,1008127.0650000001
2025-03-28,122489460.0,10,1008127.0650000001
2025-03-31,118563490.0,11,1400262.5505000001
2025-04-01,122491370.0,11,1400262.5505000001
2025-04-02,122271710.0,11,1400262.5505000001
2025-04-03,120758590.0,11,1400262.5505000001
2025-04-04,120850640.0,11,1400262.5505000001
2025-04-07,111752200.0,11,1400262.5505000001
2025-04-08,114633640.0,11,1400262.5505000001
2025-04-09,112100560.0,11,1400262.5505000001
2025-04-10,120622500.0,11,1400262.5505000001
2025-04-11,125110130.0,11,1400262.5505000001
2025-04-14,128457950.0,11,1400262.5505000001
2025-04-15,129582840.0,11,1400262.5505000001
2025-04-16,127722800.0,11,1400262.5505000001
2025-04-17,130341290.0,11,1400262.5505000001
2025-04-18,132319030.0,11,1400262.5505000001
2025-04-21,131908830.0,11,1400262.5505000001
2025-04-22,133713200.0,11,1400262.5505000001
2025-04-23,136885140.0,11,1400262.5505000001
2025-04-24,137366710.0,11,1400262.5505000001
2025-04-25,140716520.0,11,1400262.5505000001
2025-04-28,139399680.0,11,1400262.5505000001
2025-04-29,141567830.0,11,1400262.5505000001
2025-04-30,139836170.0,8,1862556.7455000002
2025-05-01,327286782.44470006,8,1862556.7455000002
2025-05-02,140476400.0,8,1862556.7455000002
2025-05-05,327437251.462,8,1862556.7455000002
2025-05-06,323856191.16690004,8,1862556.7455000002
2025-05-07,144249930.0,8,1862556.7455000002
2025-05-08,146051920.0,8,1862556.7455000002
2025-05-09,147020210.0,8,1862556.7455000002
2025-05-12,146600350.0,8,1862556.7455000002
2025-05-13,148734400.0,8,1862556.7455000002
2025-05-14,148901040.0,8,1862556.7455000002
2025-05-15,148722340.0,8,1862556.7455000002
2025-05-16,147660570.0,8,1862556.7455000002
2025-05-19,147317250.0,8,1862556.7455000002
2025-05-20,147835550.0,8,1862556.7455000002
2025-05-21,150193720.0,8,1862556.7455000002
2025-05-22,148301150.0,8,1862556.7455000002
2025-05-23,148481640.0,8,1862556.7455000002
2025-05-26,150742980.0,8,1862556.7455000002
2025-05-27,149882150.0,8,1862556.7455000002
2025-05-28,150102300.0,8,1862556.7455000002
2025-05-29,155713140.0,8,1862556.7455000002
2025-05-30,153852940.0,8,1862556.7455000002
2025-06-02,155729350.0,8,1862556.7455000002
2025-06-03,321855837.9051,8,1862556.7455000002
2025-06-04,162229360.0,8,1862556.7455000002
2025-06-05,161738540.0,8,1862556.7455000002
2025-06-06,320659779.613,8,1862556.7455000002
2025-06-09,162303400.0,8,1862556.7455000002
2025-06-10,163002710.0,8,1862556.7455000002
2025-06-11,165593900.0,8,1862556.7455000002
2025-06-12,164874640.0,8,1862556.7455000002
2025-06-13,164719520.0,8,1862556.7455000002
2025-06-16,172368050.0,8,1862556.7455000002
2025-06-17,173441990.0,8,1862556.7455000002
2025-06-18,176836100.0,8,1862556.7455000002
2025-06-19,177823820.0,8,1862556.7455000002
2025-06-20,177182130.0,8,1862556.7455000002
2025-06-23,175599520.0,8,1862556.7455000002
2025-06-24,178738440.0,8,1862556.7455000002
2025-06-25,176789980.0,8,1862556.7455000002
2025-06-26,173695940.0,8,1862556.7455000002
2025-06-27,172932600.0,8,1862556.7455000002
2025-06-30,174793745.0,15,2441258.2012500004
2025-07-01,174471790.0,15,2441258.2012500004
2025-07-02,171274780.0,15,2441258.2012500004
2025-07-03,169750750.0,15,2441258.2012500004
2025-07-04,165126365.0,15,2441258.2012500004
2025-07-07,168126150.0,15,2441258.2012500004
2025-07-08,171834905.0,15,2441258.2012500004
2025-07-09,174465220.0,15,2441258.2012500004
2025-07-10,176125380.0,15,2441258.2012500004
2025-07-11,174582715.0,15,2441258.2012500004
2025-07-14,176800330.0,15,2441258.2012500004
2025-07-15,177224970.0,15,2441258.2012500004
2025-07-16,176092610.0,15,2441258.2012500004
2025-07-17,174292340.0,15,2441258.2012500004
2025-07-18,173073905.0,15,2441258.2012500004
2025-07-21,173885610.0,15,2441258.2012500004
2025-07-22,172362685.0,15,2441258.2012500004
2025-07-23,172669320.0,15,2441258.2012500004
2025-07-24,172334550.0,15,2441258.2012500004
2025-07-25,176504825.0,15,2441258.2012500004
2025-07-28,176437435.0,15,2441258.2012500004
2025-07-29,178361380.0,15,2441258.2012500004
2025-07-30,178180220.0,15,2441258.2012500004
2025-07-31,177427300.0,14,3028433.5537500004
2025-08-01,169724015.0,14,3028433.5537500004
2025-08-04,174051480.0,14,3028433.5537500004
2025-08-05,177836270.0,14,3028433.5537500004
2025-08-06,178733475.0,14,3028433.5537500004
2025-08-07,181680405.0,14,3028433.5537500004
2025-08-08,181121600.0,14,3028433.5537500004
2025-08-11,180162615.0,14,3028433.5537500004
2025-08-12,178416115.0,14,3028433.5537500004
2025-08-13,179769365.0,14,3028433.5537500004
2025-08-14,179540390.0,14,3028433.5537500004
2025-08-15,396801590.9176001,14,3028433.5537500004
2025-08-18,181092615.0,14,3028433.5537500004
2025-08-19,177342885.0,14,3028433.5537500004
2025-08-20,174450355.0,14,3028433.5537500004
2025-08-21,178039280.0,14,3028433.5537500004
2025-08-22,179060155.0,14,3028433.5537500004
2025-08-25,181491005.0,14,3028433.5537500004
2025-08-26,178581135.0,14,3028433.5537500004
2025-08-27,180032575.0,14,3028433.5537500004
2025-08-28,182737745.0,14,3028433.5537500004
2025-08-29,184841220.0,14,3028433.5537500004
2025-09-01,182760160.0,14,3028433.5537500004
2025-09-02,184747610.0,14,3028433.5537500004
2025-09-03,186457105.0,14,3028433.5537500004
2025-09-04,188810865.0,14,3028433.5537500004
2025-09-05,188891715.0,14,3028433.5537500004
2025-09-08,191089215.0,14,3028433.5537500004
2025-09-09,193744275.0,14,3028433.5537500004
2025-09-10,201372710.0,14,3028433.5537500004
2025-09-11,207896820.0,14,3028433.5537500004
2025-09-12,206949000.0,14,3028433.5537500004
2025-09-15,206681940.0,14,3028433.5537500004
2025-09-16,209929470.0,14,3028433.5537500004
2025-09-17,207069970.0,14,3028433.5537500004
2025-09-18,210379180.0,14,3028433.5537500004
2025-09-19,212111560.0,14,3028433.5537500004
2025-09-22,208902510.0,14,3028433.5537500004
2025-09-23,209945695.0,14,3028433.5537500004
2025-09-24,210486970.0,14,3028433.5537500004
2025-09-25,206151070.0,14,3028433.5537500004
2025-09-26,202316050.0,14,3028433.5537500004
2025-09-29,205913710.0,14,3028433.5537500004
2025-09-30,206892000.0,14,3713314.0110000004
2025-10-01,208507000.0,14,3713314.0110000004
2025-10-02,213925800.0,14,3713314.0110000004
2025-10-03,187044198.71190006,14,3713314.0110000004
2025-10-06,186650124.1133,14,3713314.0110000004
2025-10-07,186227591.9289,14,3713314.0110000004
2025-10-08,185156245.87269998,14,3713314.0110000004
2025-10-09,186311365.60670003,14,3713314.0110000004
2025-10-10,216740050.0,14,3713314.0110000004
2025-10-13,213908050.0,14,3713314.0110000004
2025-10-14,211525800.0,14,3713314.0110000004
2025-10-15,222496300.0,14,3713314.0110000004
2025-10-16,229102450.0,14,3713314.0110000004
2025-10-17,226600500.0,14,3713314.0110000004
2025-10-20,228519600.0,14,3713314.0110000004
