date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2021-03-31,99837306.93924999,1235451.9392499998,98601855.0,21,162693.06075000003,162693.06075000003,
2021-04-30,32689937.438750003,1021777.4387500037,31668160.0,21,104324.5005,267017.56125,-0.6725679163337057
2021-05-31,15262321.380000006,516796.38000000676,14745525.0,22,47906.058750000004,314923.62000000005,-0.533118672723174
2021-06-30,3095439.3975000065,496589.39750000637,2598850.0,21,8556.9825,323480.60250000004,-0.797184234270134
2021-08-31,1152063.728500006,364063.728500006,788000.0,17,2385.669,325866.27150000003,-0.6278190006141111
2021-09-30,528390.4847500061,300490.48475000606,227900.0,11,648.24375,326514.51525000005,-0.5413530765021362
2021-11-30,351444.728250006,187144.728250006,164300.0,13,355.7565,326870.2717500001,-0.3348768791393306
2022-02-28,187144.728250006,187144.728250006,0.0,0,0.0,326870.2717500001,-0.46749883208696896
2022-03-31,187117.81675000602,170807.81675000602,16310.0,3,26.911499999999997,326897.18325000006,-0.0001438004706391105
2022-05-31,182792.03175000605,151947.03175000605,30845.0,5,70.785,326967.96825000003,-0.023117974948261177
2022-06-30,157767.87825000606,133847.87825000606,23920.0,5,49.153499999999994,327017.12175000005,-0.13689958616042985
2022-08-31,148278.9995000061,118008.99950000607,30270.0,6,73.87875,327091.0005,-0.06014455448886413
2022-09-30,126491.80375000609,91291.80375000609,35200.0,8,72.19575,327163.19625000004,-0.14693379253613792
2022-10-31,98218.86875000609,91268.86875000609,6950.0,2,22.935000000000002,327186.13125000003,-0.2235159446052143
2022-11-30,91254.57975000609,82594.57975000609,8660.0,3,14.289000000000001,327200.42025,-0.07090581564043485
2023-01-31,85415.24075000608,82585.24075000608,2830.0,1,9.339,327209.75925,-0.06398954459049622
2023-02-28,82585.24075000608,82585.24075000608,0.0,0,0.0,327209.75925,-0.03313226041571271
2023-03-31,82573.73200000607,75598.73200000607,6975.0,2,11.50875,327221.268,-0.0001393560144099526
2023-05-31,75598.73200000607,75598.73200000607,0.0,0,0.0,327221.268,-0.08446996194866774
2023-06-30,75598.73200000607,75598.73200000607,0.0,0,0.0,327221.268,0.0
2023-07-31,75598.73200000607,75598.73200000607,0.0,0,0.0,327221.268,0.0
2023-08-31,75598.73200000607,75598.73200000607,0.0,0,0.0,327221.268,0.0
2023-10-31,75598.73200000607,75598.73200000607,0.0,0,0.0,327221.268,0.0
2023-11-30,75593.83975000607,72628.83975000607,2965.0,1,4.89225,327226.16024999996,-6.471338699176599e-05
2024-01-31,72628.83975000607,72628.83975000607,0.0,0,0.0,327226.16024999996,-0.039222772778912396
2024-02-29,72624.21150000607,69819.21150000607,2805.0,1,4.62825,327230.78849999997,-6.372468589510571e-05
2024-04-30,69819.21150000607,69819.21150000607,0.0,0,0.0,327230.78849999997,-0.038623483023974226
2024-05-31,69814.55850000607,66994.55850000607,2820.0,1,4.653,327235.44149999996,-6.664354838792352e-05
2024-07-31,66990.01275000608,64235.01275000607,2755.0,1,4.54575,327239.98724999995,-0.04045783301773287
2024-09-30,64226.498750006074,59066.498750006074,5160.0,2,8.514000000000001,327248.50125,-0.04125262687011133
