rank,ticker,alpha_score,valid_factors_count,weight,strategy_name
1,042700,48.70065344325681,4,0.03333333333333333,Aggressive Growth
2,003670,13.645910455018662,4,0.03333333333333333,Aggressive Growth
3,010950,10.503863988864936,4,0.03333333333333333,Aggressive Growth
4,066570,1.8902717676768772,8,0.03333333333333333,Aggressive Growth
5,055550,1.5485279248976658,7,0.03333333333333333,Aggressive Growth
6,161390,1.4061637667423108,4,0.03333333333333333,Aggressive Growth
7,015760,1.3281749018114901,7,0.03333333333333333,Aggressive Growth
8,011170,0.9001350836372446,4,0.03333333333333333,Aggressive Growth
9,030200,0.23727165469836264,4,0.03333333333333333,Aggressive Growth
10,000270,-0.6039328384760247,4,0.03333333333333333,Aggressive Growth
11,000720,-2.6350287710081863,4,0.03333333333333333,Aggressive Growth
12,017670,-2.8634065551276735,4,0.03333333333333333,Aggressive Growth
13,078930,-3.413489003594376,4,0.03333333333333333,Aggressive Growth
14,003550,-5.292767005693981,4,0.03333333333333333,Aggressive Growth
15,086790,-6.221195680584483,4,0.03333333333333333,Aggressive Growth
16,006400,-8.046897229832304,11,0.03333333333333333,Aggressive Growth
17,105560,-8.830620474277271,7,0.03333333333333333,Aggressive Growth
18,096770,-9.83190404591139,4,0.03333333333333333,Aggressive Growth
19,033780,-12.083452912966441,8,0.03333333333333333,Aggressive Growth
20,011780,-12.836356725648152,4,0.03333333333333333,Aggressive Growth
21,051910,-12.938006460766301,11,0.03333333333333333,Aggressive Growth
22,005380,-13.564030993063644,8,0.03333333333333333,Aggressive Growth
23,009830,-13.77158556696221,4,0.03333333333333333,Aggressive Growth
24,018260,-14.973565789580373,4,0.03333333333333333,Aggressive Growth
25,004020,-15.454075925071786,4,0.03333333333333333,Aggressive Growth
26,000660,-15.677645574649596,13,0.03333333333333333,Aggressive Growth
27,251270,-15.80599895083302,4,0.03333333333333333,Aggressive Growth
28,000100,-16.15164678609336,4,0.03333333333333333,Aggressive Growth
29,010140,-17.223377549351085,4,0.03333333333333333,Aggressive Growth
30,068270,-17.63767911601169,8,0.03333333333333333,Aggressive Growth
