rank,ticker,alpha_score,valid_factors_count,weight,strategy_name
1,030200,-2.5419173252053366,4,0.03333333333333333,All-Weather Optimized
2,055550,-3.1503035102987353,7,0.03333333333333333,All-Weather Optimized
3,010950,-3.2327021226941883,4,0.03333333333333333,All-Weather Optimized
4,066570,-9.860340135475592,8,0.03333333333333333,All-Weather Optimized
5,017670,-10.239551036419902,4,0.03333333333333333,All-Weather Optimized
6,078930,-12.487785935971692,4,0.03333333333333333,All-Weather Optimized
7,000720,-13.257786663071062,4,0.03333333333333333,All-Weather Optimized
8,251270,-13.727845603566529,4,0.03333333333333333,All-Weather Optimized
9,086790,-15.699625530136071,4,0.03333333333333333,All-Weather Optimized
10,003550,-21.24259012110759,4,0.03333333333333333,All-Weather Optimized
11,035720,-25.225860794510222,14,0.03333333333333333,All-Weather Optimized
12,015760,-27.69844485245339,7,0.03333333333333333,All-Weather Optimized
13,011170,-28.744268329620816,4,0.03333333333333333,All-Weather Optimized
14,161390,-30.182433201712293,4,0.03333333333333333,All-Weather Optimized
15,042700,-36.875005368876224,4,0.03333333333333333,All-Weather Optimized
16,105560,-37.63253529915588,7,0.03333333333333333,All-Weather Optimized
17,004020,-42.06731608994357,4,0.03333333333333333,All-Weather Optimized
18,033780,-42.45675508406346,8,0.03333333333333333,All-Weather Optimized
19,005930,-48.09153811501946,13,0.03333333333333333,All-Weather Optimized
20,000270,-48.3291300109911,4,0.03333333333333333,All-Weather Optimized
21,006400,-59.21560085369905,11,0.03333333333333333,All-Weather Optimized
22,009830,-62.00137875706029,4,0.03333333333333333,All-Weather Optimized
23,047810,-63.07310963609004,4,0.03333333333333333,All-Weather Optimized
24,035420,-64.4943627823251,13,0.03333333333333333,All-Weather Optimized
25,000100,-65.35491051902213,4,0.03333333333333333,All-Weather Optimized
26,051910,-65.5419430064832,11,0.03333333333333333,All-Weather Optimized
27,003670,-68.6031476125018,4,0.03333333333333333,All-Weather Optimized
28,068270,-71.15844149018389,8,0.03333333333333333,All-Weather Optimized
29,000660,-76.96278065040478,13,0.03333333333333333,All-Weather Optimized
30,005380,-80.91951440778851,8,0.03333333333333333,All-Weather Optimized
