ticker,Value_score,category,num_factors,Momentum_score,Quality_score,name,sector,12M_Momentum,1M_Momentum,Book_Value_Quality,Dividend_Stability,Earnings_Quality,PB_Ratio,PE_Ratio,RSI_Momentum
161390,,Quality,3,,97.47666666666667,한국타이어앤테크놀로지,Industrials,58.48,76.08,99.22,95.68,97.53,99.22,97.53,77.76
005380,,Quality,3,,96.79333333333334,현대차,Consumer Discretionary,42.75,82.65,95.31,98.77,96.3,95.31,96.3,78.4
000270,,Quality,3,,95.55333333333333,기아,Consumer Discretionary,61.33,77.61,87.89,100.0,98.77,87.89,98.77,80.53
086790,,Quality,3,,93.61,하나금융지주,Financials,80.71,72.94,96.88,92.59,91.36,96.88,91.36,13.3
011200,,Quality,3,,93.44333333333333,HMM,Industrials,69.95,9.04,94.53,85.8,100.0,94.53,100.0,66.83
003490,,Quality,3,,91.26333333333334,대한항공,Consumer Staples,45.06,19.39,89.84,88.89,95.06,89.84,95.06,13.73
016360,,Quality,3,,90.06,삼성증권,Industrials,91.41,75.84,84.38,95.68,90.12,84.38,90.12,76.69
055550,,Quality,3,,87.63,신한지주,Financials,74.06,83.64,93.75,83.95,85.19,93.75,85.19,78.7
005940,,Quality,3,,87.21333333333332,NH투자증권,Industrials,83.68,64.04,86.33,97.53,77.78,86.33,77.78,68.14
012330,,Quality,3,,86.75999999999999,현대모비스,Consumer Discretionary,79.88,24.07,96.09,71.6,92.59,96.09,92.59,71.85
105560,,Quality,3,,85.33333333333333,KB금융,Financials,72.95,75.11,91.8,80.25,83.95,91.8,83.95,17.54
000810,,Quality,3,,84.74000000000001,삼성화재,Financials,75.57,24.78,78.91,93.83,81.48,78.91,81.48,14.07
039490,,Quality,3,,82.01,키움증권,Industrials,94.43,91.39,78.13,81.48,86.42,78.13,86.42,74.35
005490,,Quality,3,,81.89333333333333,POSCO홀딩스,Materials,16.04,68.25,100.0,90.12,55.56,100.0,55.56,74.75
071050,,Quality,3,,80.54,한국금융지주,Financials,95.29,89.03,83.59,77.78,80.25,83.59,80.25,77.36
032830,,Quality,3,,79.82666666666667,삼성생명,Financials,89.98,68.52,85.16,82.72,71.6,85.16,71.6,64.22
033780,,Quality,3,,79.51666666666667,KT&G,Consumer Discretionary,66.72,63.85,71.88,91.36,75.31,71.88,75.31,73.95
000990,,Quality,3,,77.58999999999999,DB하이텍,Information Technology,84.53,95.04,79.69,74.07,79.01,79.69,79.01,77.97
086280,,Quality,3,,76.15666666666668,현대글로비스,Industrials,83.3,8.26,75.39,76.54,76.54,75.39,76.54,64.36
047050,,Quality,3,,74.54333333333334,포스코인터내셔널,Industrials,29.71,71.48,77.34,85.8,60.49,77.34,60.49,86.09
