factor,period,ic,t_statistic,p_value,is_significant,sample_size
rsi,fwd_return_1M,,,,False,2
rsi,fwd_return_3M,,,,False,2
rsi,fwd_return_6M,,,,False,2
rsi,fwd_return_12M,,,,False,2
macd,fwd_return_1M,,,,False,2
macd,fwd_return_3M,,,,False,2
macd,fwd_return_6M,,,,False,2
macd,fwd_return_12M,,,,False,2
short_term,fwd_return_1M,,,,False,4
short_term,fwd_return_3M,,,,False,4
short_term,fwd_return_6M,,,,False,4
short_term,fwd_return_12M,,,,False,4
composite,fwd_return_1M,,,,False,3
composite,fwd_return_3M,,,,False,3
composite,fwd_return_6M,,,,False,3
composite,fwd_return_12M,,,,False,3
